Section - Id,Fault - Location,Phase - Conductor,Dist - kFt,Phase - Config,Nominal - kV,Symmetrical Amps - LG Min,Symmetrical Amps - LG Max,Symmetrical Amps - LL,Symmetrical Amps - LLG,Symmetrical Amps - 3Ph,Cumulative Impedance (Ohms) - R1,Cumulative Impedance (Ohms) - X1,Cumulative Impedance (Ohms) - R0,Cumulative Impedance (Ohms) - X0,Asymmetrical Amps - LG Min,Asymmetrical Amps - LG Max,Asymmetrical Amps - LL,Asymmetrical Amps - LLG,Asymmetrical Amps - 3Ph Avg,Asymmetrical Amps - 3Ph Max
0971563_0971564,P192532 TO P192531,3-#2_AL_B,45.87, BCN,12,135,403,531,547,---,8.6334,7.2998,11.0744,28.501,135,451,543,613,---,---
0971564_0971565,P192531 TO P192530,3-#2_AL_B,46.15, BCN,12,134,400,527,543,---,8.7068,7.3426,11.1626,28.6577,134,448,539,608,---,---
0971565_0971566,P192530 TO P192529,3-#2_AL_B,46.45, BCN,12,134,398,523,539,---,8.7886,7.3904,11.261,28.8323,134,445,535,603,---,---
0971566_0971569,P192529 TO P192528,3-#2_AL_B,46.95, BCN,12,134,393,516,532,---,8.9217,7.4682,11.421,29.1165,134,439,528,594,---,---
0971569_0971570,P192528 TO P192527,3-#2_AL_B,47.3, BCN,12,133,390,511,527,---,9.015,7.5227,11.5331,29.3156,133,435,523,589,---,---
0971570_0971573,P192527 TO P192526,3-#2_AL_B,47.58, BCN,12,133,387,507,523,---,9.089,7.566,11.6222,29.4737,133,432,519,584,---,---
0971573_0971575,P192526 TO P192525,3-#2_AL_B,47.88, BCN,12,133,385,503,519,---,9.171,7.6139,11.7208,29.6487,133,429,515,579,---,---
0971575_0971576,P192525 TO P192524,3-#2_AL_B,48.12, BCN,12,132,383,500,516,---,9.2334,7.6503,11.7958,29.782,132,427,512,576,---,---
0971576_0971577,P192524 TO P192522,3-#2_AL_B,48.36, BCN,12,132,381,497,513,---,9.2985,7.6883,11.874,29.9208,132,424,508,572,---,---
0971577_0971578,P192522 TO P192521,3-#2_AL_B,48.73, BCN,12,132,378,493,509,---,9.396,7.7453,11.9913,30.1291,132,421,504,566,---,---
0971578_0971579,P192521 TO P192520,3-#2_AL_B,49.02, BCN,12,132,375,489,505,---,9.4732,7.7904,12.084,30.2938,132,418,500,562,---,---
0971579_0971580,P192520 TO P202863,3-#2_AL_B,49.41, BCN,12,131,372,484,500,---,9.579,7.8523,12.2113,30.5198,131,414,495,556,---,---
0971580_0971581,P202863 TO P202861,3-#2_AL_B,49.69, BCN,12,131,370,481,497,---,9.6531,7.8955,12.3003,30.6778,131,411,491,552,---,---
0971581_0971582,P202861 TO P202860,3-#2_AL_B,49.83, BCN,12,131,369,479,495,---,9.6905,7.9174,12.3453,30.7577,131,410,490,550,---,---
0971582_0971583,P202860 TO P202859,3-#2_AL_B,49.99, BCN,12,131,367,478,493,---,9.7337,7.9426,12.3972,30.8499,131,408,488,548,---,---
0971584_0971585,P519370 TO P519371,3-#4_CU_B,43.45, BCN,12,137,428,571,589,---,7.904,6.919,10.2142,27.117,137,483,587,664,---,---
0971585_0971586,P519371 TO P519372,3-#4_CU_B,43.69, BCN,12,137,426,567,584,---,7.9681,6.9574,10.2915,27.2563,137,480,583,659,---,---
0971585_0971587,P519371 TO P613099,3-#2A5005C,43.75, BCN,12,137,425,566,583,---,7.9988,6.9644,10.3256,27.2941,137,479,581,657,---,---
0971588_0971589,P216969 TO P216970,3-#6_CU_B,42.39, BCN,12,138,441,593,611,---,7.5376,6.7486,9.7904,26.5074,138,500,611,692,---,---
0971589_0971590,P216970 TO P216971,3-#6_CU_B,42.68, BCN,12,138,437,586,603,---,7.6597,6.7962,9.9283,26.676,138,495,603,683,---,---
0971589_0971594,P216970 TO P216972,3-#6_CU_B,42.74, BCN,12,138,436,584,602,---,7.6862,6.8065,9.9583,26.7126,138,493,601,680,---,---
0971590_0971591,P216971 TO P713840,3-#2_AL_B,42.79, BCN,12,138,436,584,602,---,7.6888,6.8132,9.9633,26.7382,138,493,601,680,---,---
0971591_0971592,P713840 TO P817256,3-#2_AL_B,42.94, BCN,12,138,434,581,599,---,7.7303,6.8375,10.0133,26.8269,138,491,598,677,---,---
0971591_0971593,P713840 TO P713841,3-#2_AL_B,43.06, BCN,12,138,433,579,597,---,7.761,6.8554,10.0501,26.8923,138,489,596,674,---,---
0971594_0971595,P216972 TO P216973,3-#6_CU_B,43.06, BCN,12,137,432,577,594,---,7.8207,6.859,10.1102,26.8983,137,488,593,670,---,---
