Section - Id,Section - Phase Cond,Section - Amp Rating,Section - Dist,Section - Phasing,Volts - Out,Volts - Drop,Into - Amps,Into - pf,% Ldg - Cont,% Ldg - Emer,In - kW,In - kvar,Into - kW,Into - kvar,Into - c.kVA,Into - Cust,Loss - kW,Loss - kvar,Load Cat,Desc
03554916_03554917,1C#2SAPECN,108,12.93,A  N,124.5,0,2.8,97.2,3,3,20,5,20,5,50,6,0,0,---,D118138 TO CG199999
03555701_03555702,3-#6_CU_B,130,12.36,A CN,124.4,0,1.5,97.3,1,1,10,2,21,5,50,2,0,0,---,P274195 TO P274196
03555702_03555703,3-#2_CU_B,230,12.61,A CN,124.4,0,0.7,97.3,0,0,0,0,10,2,25,1,0,0,---,P274196 TO P375053
03555703_03555704,3-#2_CU_B,230,12.75,A CN,124.4,0,0.7,97.3,0,0,10,2,10,2,25,1,0,0,---,P375053 TO P375054
FU 03552584_03552584A,Device Conductor 150A,150,10.26,ABCN,125.5,0,35.6,97.3,24,24,0,0,753,179,1825,328,0,0,---,D2436084125
FU 03552644_03552644A,Device Conductor 10A,10,10.18,AB N,125.5,0,0.7,97.3,7,7,0,0,10,2,25,8,0,0,---,P477767
FU 03554806_03554806A,Device Conductor 30A,30,11.57,AB N,124.4,0,3.5,97.3,12,12,0,0,49,12,125,3,0,0,---,P198740
03552584A_03552585,2/0AL_PECN,158,10.3,ABCN,125.5,0,35.6,97.3,23,23,0,0,753,179,1825,328,0,0,---,D2436084125 TO D2436984214
03552585_03552586,2/0AL_PECN,158,10.39,ABCN,125.4,0,15.3,97.3,10,10,0,0,324,77,775,152,0,0,---,D2436984214 TO M2436784216
03552585_03552598,2/0AL_PECN,158,10.39,ABCN,125.4,0,14.1,97.3,9,9,0,0,298,71,725,93,0,0,---,D2436984214 TO M2436784216
03552585_03552622,1C#2SAPECN,108,10.43,  CN,125.3,0,3.1,97.4,3,3,22,5,22,5,50,5,0,0,---,D2436984214 TO D2436984197
03552585_03552623,1C#2SAPECN,108,10.39,A  N,125.6,0,15.6,97.2,14,14,0,0,110,27,275,78,0,0,---,D2436984214 TO M2436784216
03552586_03552587,2/0AL_PECN,158,10.61,ABCN,125.4,0,15.3,97.3,10,10,0,0,324,77,775,152,0,0,---,M2436784216 TO H2435384203
03552587_03552588,2/0AL_PECN,158,10.74,ABCN,125.4,0,1,97.3,1,1,21,5,21,5,50,9,0,0,---,H2435384203 TO D2435084295
03552587_03552589,2/0AL_PECN,158,10.87,ABCN,125.4,0,14.3,97.3,9,9,0,0,303,72,725,143,0,0,---,H2435384203 TO H2435184110
03552589_03552590,2/0AL_PECN,158,11.17,ABCN,125.4,0,7.3,97.3,5,5,31,7,154,37,375,94,0,0,---,H2435184110 TO D2432984115
03552589_03552593,2/0AL_PECN,158,10.96,ABCN,125.4,0,1.5,97.3,1,1,31,7,31,7,75,5,0,0,---,H2435184110 TO D2360384882
03552589_03552594,2/0AL_PECN,158,10.92,ABCN,125.4,0,1.5,97.3,1,1,31,7,31,7,75,1,0,0,---,H2435184110 TO D2435084110
03552589_03552595,1C#2SAPECN,108,11.08,  CN,125.3,0,12.4,97.4,11,11,0,0,87,20,200,43,0,0,---,H2435184110 TO H2434284082
03552590_03552591,2/0AL_PECN,158,11.38,ABCN,125.4,0,5.8,97.3,4,4,93,22,123,29,300,67,0,0,---,D2432984115 TO D2431484128
03552591_03552592,2/0AL_PECN,158,11.62,ABCN,125.4,0,1.5,97.3,1,1,31,7,31,7,75,24,0,0,---,D2431484128 TO D2432284148
03552595_03552596,1C#2SAPECN,108,11.12,  CN,125.3,0,6.2,97.4,6,6,44,10,44,10,100,15,0,0,---,H2434284082 TO D2434284083
03552595_03552597,1C#2SAPECN,108,11.22,  CN,125.3,0,6.2,97.4,6,6,44,10,44,10,100,28,0,0,---,H2434284082 TO D2433784071
03552598_03552599,2/0AL_PECN,158,10.77,ABCN,125.4,0,14.1,97.3,9,9,0,0,298,71,725,93,0,0,---,M2436784216 TO H2436884172
03552599_03552600,2/0AL_PECN,158,11.2,ABCN,125.4,0,1.3,97.3,1,1,0,0,27,6,65,3,0,0,---,H2436884172 TO P878744
03552599_03552603,2/0AL_PECN,158,10.88,ABCN,125.4,0,1.9,97.3,1,1,41,10,41,10,100,2,0,0,---,H2436884172 TO D2436884171
03552599_03552604,2/0AL_PECN,158,11.38,ABCN,125.4,0,10.9,97.3,7,7,0,0,230,54,560,88,0,0,---,H2436884172 TO H2436884127
03552604_03552605,1C#2SAPECN,108,11.49,A CN,125.4,0,0.4,97.3,0,0,0,0,6,1,15,2,0,0,---,H2436884127 TO P274733
03552604_03552607,1C#2SAPECN,108,11.51,ABCN,125.4,0,0.9,97.3,1,1,19,4,19,4,45,1,0,0,---,H2436884127 TO D134240
03552604_03552608,2/0AL_PECN,158,12.29,ABCN,125.4,0,9.7,97.3,6,6,0,0,205,48,500,85,0,0,---,H2436884127 TO H113698
03552608_03552609,1C#2SAPECN,108,13.02,ABCN,125.4,0,6.9,97.3,6,6,0,0,145,34,350,63,0,0,---,H113698 TO H114363
03552608_03552619,1C#2SAPECN,108,12.71, B N,125.3,0,8.5,97.3,8,8,20,5,60,14,150,22,0,0,---,H113698 TO D132866
03552609_03552610,1C#2SAPECN,108,13.69,ABCN,125.3,0,2.9,97.3,3,3,0,0,62,14,150,30,0,0,---,H114363 TO D137548
03552609_03552615,1C#2SAPECN,108,13.1,A  N,125.6,0,5.7,97.2,5,5,20,5,40,10,100,13,0,0,---,H114363 TO D137542
03552609_03552617,1C#2SAPECN,108,13.48,  CN,125.2,0,6.2,97.4,6,6,22,5,44,10,100,20,0,0,---,H114363 TO D135874
03552610_03552611,1C#2SAPECN,108,13.76,  CN,125.2,0,3.1,97.4,3,3,22,5,22,5,50,9,0,0,---,D137548 TO D137544
03552610_03552612,1C#2SAPECN,108,14.03, B N,125.2,0,5.7,97.3,5,5,20,5,40,9,100,21,0,0,---,D137548 TO D137545
03552612_03552613,1C#2SAPECN,108,14.38, B N,125.2,0,2.8,97.3,3,3,10,2,20,5,50,12,0,0,---,D137545 TO D137546
03552613_03552614,1C#2SAPECN,108,14.61, B N,125.2,0,1.4,97.3,1,1,10,2,10,2,25,6,0,0,---,D137546 TO D137547
03552615_03552616,1C#2SAPECN,108,13.39,A  N,125.6,0,2.8,97.2,3,3,20,5,20,5,50,6,0,0,---,D137542 TO D137543
03552617_03552618,1C#2SAPECN,108,13.77,  CN,125.2,0,3.1,97.4,3,3,22,5,22,5,50,11,0,0,---,D135874 TO D135873
03552619_03552620,1C#2SAPECN,108,13.18, B N,125.3,0,5.7,97.3,5,5,20,5,40,9,100,14,0,0,---,D132866 TO D132867
03552620_03552621,1C#2SAPECN,108,13.49, B N,125.3,0,2.8,97.3,3,3,20,5,20,5,50,6,0,0,---,D132867 TO D132868
03552623_03552624,1C#2SAPECN,108,10.44,A  N,125.6,0,15.6,97.2,14,14,40,10,110,27,275,78,0,0,---,M2436784216 TO D2436984217
03552624_03552625,1C#2SAPECN,108,10.75,A  N,125.6,0,9.9,97.2,9,9,0,0,70,17,175,68,0,0,---,D2436984217 TO H2439084217
03552625_03552626,2ALPECNPID,115,10.8,A  N,125.6,0,5.7,97.2,5,5,20,5,40,10,100,39,0,0,---,H2439084217 TO D2439184217
03552625_03552628,2ALPECNPID,115,11.04,A  N,125.6,0,4.2,97.2,4,4,30,7,30,7,75,29,0,0,---,H2439084217 TO D2442184215
03552626_03552627,2ALPECNPID,115,11.11,A  N,125.6,0,2.8,97.2,2,2,20,5,20,5,50,21,0,0,---,D2439184217 TO D2439984191
03552644A_03552645,1C#2SAPECN,108,10.26,AB N,125.5,0,0.7,97.3,1,1,0,0,10,2,25,8,0,0,---,P477767 TO H2432084250
03552645_03552646,1C#2SAPECN,108,10.57,AB N,125.5,0,0.7,97.3,1,1,10,2,10,2,25,8,0,0,---,H2432084250 TO D2429284253
03554806A_03554807,1C#2SAPECN,108,11.71,AB N,124.4,0,3.5,97.3,3,3,0,0,49,12,125,3,0,0,---,P198740 TO D163336
03554807_03554808,1C#2SAPECN,108,11.9,AB N,124.4,0,0.7,97.3,1,1,10,2,10,2,25,1,0,0,---,D163336 TO D196232
03554807_03554809,1C#2SAPECN,108,11.84,AB N,124.4,0,2.8,97.3,3,3,20,5,39,9,100,2,0,0,---,D163336 TO D162466
03554809_03554810,1C#2SAPECN,108,12.03,AB N,124.4,0,1.4,97.3,1,1,20,5,20,5,50,2,0,0,---,D162466 TO D162468
FU 03552600_03552600A,Device Conductor 15A,15,11.21,ABCN,125.4,0,1.3,97.3,8,8,0,0,27,6,65,3,0,0,---,P878744
FU 03552605_03552605A,Device Conductor 15A,15,11.5,A CN,125.4,0,0.4,97.3,3,3,0,0,6,1,15,2,0,0,---,P274733
03552600A_03552602,3-#6_CU_B,130,11.32,ABCN,125.4,0,1.3,97.3,1,1,27,6,27,6,65,3,0,0,---,P878744 TO P677603
03552605A_03552606,3-#6_CU_B,130,11.61,A CN,125.4,0,0.4,97.3,0,0,6,1,6,1,15,2,0,0,---,P274733 TO P274734
